aId	sId	orig	cent	au	title	incipit	irreg	nbLin	nbLg	lnNbr	lnTxt	met	rhys	rw	r1	r2	r3	r4	enj	ent
694n	s694n_2555	ame	19	Rubén Darío	LA GITANILLA	Maravillosamente danzaba. Los diamantes	0	14	4	2	negros de sus pupilas vertían su destello;	1 6 9 12	ABBA ABBA CCD EED	destello	ABBA	ABBA	CCD	EED	0	
694n	s694n_2555	ame	19	Rubén Darío	LA GITANILLA	Maravillosamente danzaba. Los diamantes	0	14	4	3	era bello su rostro, era un rostro tan bello	1 3 6 7 8 9 12	ABBA ABBA CCD EED	bello	ABBA	ABBA	CCD	EED	0	
694n	s694n_2555	ame	19	Rubén Darío	LA GITANILLA	Maravillosamente danzaba. Los diamantes	0	14	4	4	como el de las gitanas de don Miguel Cervantes.	6 11 13	ABBA ABBA CCD EED	Cervantes	ABBA	ABBA	CCD	EED	0	
694n	s694n_2555	ame	19	Rubén Darío	LA GITANILLA	Maravillosamente danzaba. Los diamantes	0	14	4	5	Ornábase con rojos claveles detonantes	2 6 9 13	ABBA ABBA CCD EED	detonantes	ABBA	ABBA	CCD	EED	0	
694n	s694n_2555	ame	19	Rubén Darío	LA GITANILLA	Maravillosamente danzaba. Los diamantes	0	14	4	6	la redondez obscura del casco del cabello,	4 6 9 13	ABBA ABBA CCD EED	cabello	ABBA	ABBA	CCD	EED	0	
694n	s694n_2555	ame	19	Rubén Darío	LA GITANILLA	Maravillosamente danzaba. Los diamantes	0	14	4	7	y la cabeza firme sobre el bronce del cuello	4 6 10 13	ABBA ABBA CCD EED	cuello	ABBA	ABBA	CCD	EED	0	
694n	s694n_2555	ame	19	Rubén Darío	LA GITANILLA	Maravillosamente danzaba. Los diamantes	0	14	4	8	tenía la pátina de las horas errantes.	2 4 9 12	ABBA ABBA CCD EED	errantes	ABBA	ABBA	CCD	EED	0	
694n	s694n_2555	ame	19	Rubén Darío	LA GITANILLA	Maravillosamente danzaba. Los diamantes	0	14	4	9	Las guitarras decían en sus cuerdas sonoras	3 6 9 12	ABBA ABBA CCD EED	sonoras	ABBA	ABBA	CCD	EED	1	ex_subj_verb
694n	s694n_2555	ame	19	Rubén Darío	LA GITANILLA	Maravillosamente danzaba. Los diamantes	0	14	4	10	las vagas aventuras y las errantes horas,	2 6 11 13	ABBA ABBA CCD EED	horas	ABBA	ABBA	CCD	EED	0	
694n	s694n_2555	ame	19	Rubén Darío	LA GITANILLA	Maravillosamente danzaba. Los diamantes	0	14	4	11	volaban los fandangos, daba el clavel fragancia;	2 6 8 11 13	ABBA ABBA CCD EED	fragancia	ABBA	ABBA	CCD	EED	0	
694n	s694n_2555	ame	19	Rubén Darío	LA GITANILLA	Maravillosamente danzaba. Los diamantes	0	14	4	12	la gitana, embriagada de lujuria y cariño,	3 6 10 13	ABBA ABBA CCD EED	cariño	ABBA	ABBA	CCD	EED	0	
694n	s694n_2555	ame	19	Rubén Darío	LA GITANILLA	Maravillosamente danzaba. Los diamantes	0	14	4	13	sintió cómo caía dentro de su corpiño	2 3 5 6 11	ABBA ABBA CCD EED	corpiño	ABBA	ABBA	CCD	EED	1	ex_subj_verb
694n	s694n_2555	ame	19	Rubén Darío	LA GITANILLA	Maravillosamente danzaba. Los diamantes	0	14	4	14	el bello luis de oro del artista de Francia.	2 4 5 9 12	ABBA ABBA CCD EED	Francia	ABBA	ABBA	CCD	EED	0	
694n	s694n_2556	ame	19	Rubén Darío	A MAESTRE GONZALO DE BERCEO	Amo tu delicioso alejandrino	0	14	4	1	Amo tu delicioso alejandrino	1 6 10	ABBA ABBA CDC DCD	alejandrino	ABBA	ABBA	CDC	DCD	0	
694n	s694n_2556	ame	19	Rubén Darío	A MAESTRE GONZALO DE BERCEO	Amo tu delicioso alejandrino	0	14	4	2	como el de Hugo, espíritu de España;	4 6 10	ABBA ABBA CDC DCD	España	ABBA	ABBA	CDC	DCD	0	
694n	s694n_2556	ame	19	Rubén Darío	A MAESTRE GONZALO DE BERCEO	Amo tu delicioso alejandrino	0	14	4	3	éste vale una copa de champaña	1 3 4 6 10	ABBA ABBA CDC DCD	champaña	ABBA	ABBA	CDC	DCD	0	
694n	s694n_2556	ame	19	Rubén Darío	A MAESTRE GONZALO DE BERCEO	Amo tu delicioso alejandrino	0	14	4	4	"como aquel vale ""un vaso de von vino""."	3 4 5 6 9 10	ABBA ABBA CDC DCD	vino	ABBA	ABBA	CDC	DCD	0	
694n	s694n_2556	ame	19	Rubén Darío	A MAESTRE GONZALO DE BERCEO	Amo tu delicioso alejandrino	0	14	4	5	Mas a uno y otro pájaro divino	2 4 6 10	ABBA ABBA CDC DCD	divino	ABBA	ABBA	CDC	DCD	1	ex_subj_verb
694n	s694n_2556	ame	19	Rubén Darío	A MAESTRE GONZALO DE BERCEO	Amo tu delicioso alejandrino	0	14	4	6	la primitiva cárcel es extraña;	4 6 8 10	ABBA ABBA CDC DCD	extraña	ABBA	ABBA	CDC	DCD	0	
694n	s694n_2556	ame	19	Rubén Darío	A MAESTRE GONZALO DE BERCEO	Amo tu delicioso alejandrino	0	14	4	7	el barrote maltrata, el grillo daña,	3 6 8 10	ABBA ABBA CDC DCD	daña	ABBA	ABBA	CDC	DCD	0	
694n	s694n_2556	ame	19	Rubén Darío	A MAESTRE GONZALO DE BERCEO	Amo tu delicioso alejandrino	0	14	4	8	que vuelo y libertad son su destino.	2 6 7 10	ABBA ABBA CDC DCD	destino	ABBA	ABBA	CDC	DCD	0	
694n	s694n_2556	ame	19	Rubén Darío	A MAESTRE GONZALO DE BERCEO	Amo tu delicioso alejandrino	0	14	4	9	Así procuro que en la luz resalte	2 4 8 10	ABBA ABBA CDC DCD	resalte	ABBA	ABBA	CDC	DCD	1	ex_dobj_verb
694n	s694n_2556	ame	19	Rubén Darío	A MAESTRE GONZALO DE BERCEO	Amo tu delicioso alejandrino	0	14	4	10	tu antiguo verso, cuyas alas doro	2 4 6 8 10	ABBA ABBA CDC DCD	doro	ABBA	ABBA	CDC	DCD	0	
694n	s694n_2556	ame	19	Rubén Darío	A MAESTRE GONZALO DE BERCEO	Amo tu delicioso alejandrino	0	14	4	11	y hago brillar con mi moderno esmalte;	1 4 8 10	ABBA ABBA CDC DCD	esmalte	ABBA	ABBA	CDC	DCD	0	
694n	s694n_2556	ame	19	Rubén Darío	A MAESTRE GONZALO DE BERCEO	Amo tu delicioso alejandrino	0	14	4	12	tiene la libertad con el decoro	1 6 10	ABBA ABBA CDC DCD	decoro	ABBA	ABBA	CDC	DCD	0	
694n	s694n_2556	ame	19	Rubén Darío	A MAESTRE GONZALO DE BERCEO	Amo tu delicioso alejandrino	0	14	4	13	y vuelve, como al puño el gerifalte,	2 6 10	ABBA ABBA CDC DCD	gerifalte	ABBA	ABBA	CDC	DCD	0	
694n	s694n_2556	ame	19	Rubén Darío	A MAESTRE GONZALO DE BERCEO	Amo tu delicioso alejandrino	0	14	4	14	trayendo del azul rimas de oro.	2 6 7 10	ABBA ABBA CDC DCD	oro	ABBA	ABBA	CDC	DCD	0	
694n	s694n_2557	ame	19	Rubén Darío	ALMA MÍA	Alma mía, perdura en tu idea divina;	0	14	4	1	Alma mía, perdura en tu idea divina;	1 3 5 8 10	ABBA ABBA CCD EED	divina	ABBA	ABBA	CCD	EED	0	
694n	s694n_2557	ame	19	Rubén Darío	ALMA MÍA	Alma mía, perdura en tu idea divina;	0	14	4	2	todo está bajo el signo de un destino supremo;	1 3 6 8 10 13	ABBA ABBA CCD EED	supremo	ABBA	ABBA	CCD	EED	0	
694n	s694n_2557	ame	19	Rubén Darío	ALMA MÍA	Alma mía, perdura en tu idea divina;	0	14	4	3	sigue en tu rumbo, sigue hasta el ocaso extremo	1 4 6 10 12	ABBA ABBA CCD EED	extremo	ABBA	ABBA	CCD	EED	0	
694n	s694n_2557	ame	19	Rubén Darío	ALMA MÍA	Alma mía, perdura en tu idea divina;	0	14	4	4	por el camino que hacia la Esfinge te encamina.	4 9 13	ABBA ABBA CCD EED	encamina	ABBA	ABBA	CCD	EED	0	
694n	s694n_2557	ame	19	Rubén Darío	ALMA MÍA	Alma mía, perdura en tu idea divina;	0	14	4	5	Corta la flor al paso, deja la dura espina;	1 4 6 8 11 13	ABBA ABBA CCD EED	espina	ABBA	ABBA	CCD	EED	0	
694n	s694n_2557	ame	19	Rubén Darío	ALMA MÍA	Alma mía, perdura en tu idea divina;	0	14	4	6	en el río de oro lleva a compás el remo;	3 4 6 9 11	ABBA ABBA CCD EED	remo	ABBA	ABBA	CCD	EED	0	
694n	s694n_2557	ame	19	Rubén Darío	ALMA MÍA	Alma mía, perdura en tu idea divina;	0	14	4	7	saluda el rudo arado del rudo Triptolemo,	2 4 6 9 13	ABBA ABBA CCD EED	Triptolemo	ABBA	ABBA	CCD	EED	0	
694n	s694n_2557	ame	19	Rubén Darío	ALMA MÍA	Alma mía, perdura en tu idea divina;	0	14	4	8	y sigue como un dios que sus sueños destina...	2 5 6 9 12	ABBA ABBA CCD EED	destina	ABBA	ABBA	CCD	EED	0	
694n	s694n_2557	ame	19	Rubén Darío	ALMA MÍA	Alma mía, perdura en tu idea divina;	0	14	4	9	Y sigue como un dios que la dicha estimula,	2 5 6 9 12	ABBA ABBA CCD EED	estimula	ABBA	ABBA	CCD	EED	0	
694n	s694n_2557	ame	19	Rubén Darío	ALMA MÍA	Alma mía, perdura en tu idea divina;	0	14	4	10	y mientras la retórica del pájaro te adula	6 10 14	ABBA ABBA CCD EED	adula	ABBA	ABBA	CCD	EED	0	
694n	s694n_2557	ame	19	Rubén Darío	ALMA MÍA	Alma mía, perdura en tu idea divina;	0	14	4	11	y los astros del cielo te acompañan, y los	3 6 10 13	ABBA ABBA CCD EED	los	ABBA	ABBA	CCD	EED	1	pb_relword
694n	s694n_2557	ame	19	Rubén Darío	ALMA MÍA	Alma mía, perdura en tu idea divina;	0	14	4	12	ramos de la Esperanza surgen primaverales,	1 6 8 13	ABBA ABBA CCD EED	primaverales	ABBA	ABBA	CCD	EED	0	
694n	s694n_2557	ame	19	Rubén Darío	ALMA MÍA	Alma mía, perdura en tu idea divina;	0	14	4	13	atraviesa impertérrita por el bosque de males	3 6 11 14	ABBA ABBA CCD EED	males	ABBA	ABBA	CCD	EED	0	
694n	s694n_2557	ame	19	Rubén Darío	ALMA MÍA	Alma mía, perdura en tu idea divina;	0	14	4	14	sin temer las serpientes; y sigue, como un dios...	3 6 9 12 13	ABBA ABBA CCD EED	dios	ABBA	ABBA	CCD	EED	0	
694n	s694n_2558	ame	19	Rubén Darío	YO PERSIGO UNA FORMA ...	Yo persigo una forma que no encuentra mi estilo,	0	14	4	1	Yo persigo una forma que no encuentra mi estilo,	1 3 4 6 9 10 13	ABBA ABBA CCD EED	estilo	ABBA	ABBA	CCD	EED	0	
694n	s694n_2558	ame	19	Rubén Darío	YO PERSIGO UNA FORMA ...	Yo persigo una forma que no encuentra mi estilo,	0	14	4	2	botón de pensamiento que busca ser la rosa;	2 6 9 11 13	ABBA ABBA CCD EED	rosa	ABBA	ABBA	CCD	EED	0	
694n	s694n_2558	ame	19	Rubén Darío	YO PERSIGO UNA FORMA ...	Yo persigo una forma que no encuentra mi estilo,	0	14	4	3	se anuncia con un beso que en mis labios se posa	2 5 6 10 13	ABBA ABBA CCD EED	posa	ABBA	ABBA	CCD	EED	1	ex_dobj_verb
694n	s694n_2558	ame	19	Rubén Darío	YO PERSIGO UNA FORMA ...	Yo persigo una forma que no encuentra mi estilo,	0	14	4	4	al abrazo imposible de la Venus de Milo.	3 6 10 13	ABBA ABBA CCD EED	Milo	ABBA	ABBA	CCD	EED	0	
694n	s694n_2558	ame	19	Rubén Darío	YO PERSIGO UNA FORMA ...	Yo persigo una forma que no encuentra mi estilo,	0	14	4	5	Adornan verdes palmas el blanco peristilo;	2 4 6 9 13	ABBA ABBA CCD EED	peristilo	ABBA	ABBA	CCD	EED	0	
694n	s694n_2558	ame	19	Rubén Darío	YO PERSIGO UNA FORMA ...	Yo persigo una forma que no encuentra mi estilo,	0	14	4	6	los astros me han predicho la visión de la Diosa;	2 4 6 10 13	ABBA ABBA CCD EED	Diosa	ABBA	ABBA	CCD	EED	0	
694n	s694n_2558	ame	19	Rubén Darío	YO PERSIGO UNA FORMA ...	Yo persigo una forma que no encuentra mi estilo,	0	14	4	7	y en mi alma reposa la luz como reposa	2 5 8 12	ABBA ABBA CCD EED	reposa	ABBA	ABBA	CCD	EED	1	ex_subj_verb
694n	s694n_2558	ame	19	Rubén Darío	YO PERSIGO UNA FORMA ...	Yo persigo una forma que no encuentra mi estilo,	0	14	4	8	el ave de la luna sobre un lago tranquilo.	2 6 9 10 13	ABBA ABBA CCD EED	tranquilo	ABBA	ABBA	CCD	EED	0	
694n	s694n_2558	ame	19	Rubén Darío	YO PERSIGO UNA FORMA ...	Yo persigo una forma que no encuentra mi estilo,	0	14	4	9	Y no hallo sino la palabra que huye,	2 8 10	ABBA ABBA CCD EED	huye	ABBA	ABBA	CCD	EED	0	
694n	s694n_2558	ame	19	Rubén Darío	YO PERSIGO UNA FORMA ...	Yo persigo una forma que no encuentra mi estilo,	0	14	4	10	la iniciación melódica que de la flauta fluye	4 6 12 14	ABBA ABBA CCD EED	fluye	ABBA	ABBA	CCD	EED	0	
694n	s694n_2558	ame	19	Rubén Darío	YO PERSIGO UNA FORMA ...	Yo persigo una forma que no encuentra mi estilo,	0	14	4	11	y la barca del sueño que en el espacio boga;	3 6 11 13	ABBA ABBA CCD EED	boga	ABBA	ABBA	CCD	EED	0	
694n	s694n_2558	ame	19	Rubén Darío	YO PERSIGO UNA FORMA ...	Yo persigo una forma que no encuentra mi estilo,	0	14	4	12	y bajo la ventana de mi Bella-Durmiente,	6 10 13	ABBA ABBA CCD EED	Bella-Durmiente	ABBA	ABBA	CCD	EED	0	
694n	s694n_2558	ame	19	Rubén Darío	YO PERSIGO UNA FORMA ...	Yo persigo una forma que no encuentra mi estilo,	0	14	4	13	el sollozo continuo del chorro de la fuente	3 6 9 13	ABBA ABBA CCD EED	fuente	ABBA	ABBA	CCD	EED	0	
694n	s694n_2558	ame	19	Rubén Darío	YO PERSIGO UNA FORMA ...	Yo persigo una forma que no encuentra mi estilo,	0	14	4	14	y el cuello del gran cisne blanco que me interroga.	2 5 6 8 13	ABBA ABBA CCD EED	interroga	ABBA	ABBA	CCD	EED	0	
694n	s694n_2559	ame	19	Rubén Darío	ROMA	Antonino Lamberti, el peristilo	0	14	4	1	Antonino Lamberti, el peristilo	3 6 10	ABBA ABBA CD- DCD	peristilo	ABBA	ABBA	CD-	DCD	1	pb_noun_prep
694n	s694n_2559	ame	19	Rubén Darío	ROMA	Antonino Lamberti, el peristilo	0	14	4	2	del sacro templo se alza en la colina,	2 4 6 10	ABBA ABBA CD- DCD	colina	ABBA	ABBA	CD-	DCD	0	
694n	s694n_2559	ame	19	Rubén Darío	ROMA	Antonino Lamberti, el peristilo	0	14	4	3	y llega una fragancia tiburtina	2 3 6 10	ABBA ABBA CD- DCD	tiburtina	ABBA	ABBA	CD-	DCD	1	cc_crossclause
694n	s694n_2559	ame	19	Rubén Darío	ROMA	Antonino Lamberti, el peristilo	0	14	4	4	que acariciara a Horacio y a Camilo.	4 7 10	ABBA ABBA CD- DCD	Camilo	ABBA	ABBA	CD-	DCD	0	
694n	s694n_2559	ame	19	Rubén Darío	ROMA	Antonino Lamberti, el peristilo	0	14	4	5	Es la reina de Pafos y de Milo	1 3 6 10	ABBA ABBA CD- DCD	Milo	ABBA	ABBA	CD-	DCD	1	cc_crossclause
694n	s694n_2559	ame	19	Rubén Darío	ROMA	Antonino Lamberti, el peristilo	0	14	4	6	que dio la aurora de la luz latina,	2 4 8 10	ABBA ABBA CD- DCD	latina	ABBA	ABBA	CD-	DCD	0	
694n	s694n_2559	ame	19	Rubén Darío	ROMA	Antonino Lamberti, el peristilo	0	14	4	7	en donde halló, por la virtud divina,	4 8 10	ABBA ABBA CD- DCD	divina	ABBA	ABBA	CD-	DCD	0	
694n	s694n_2559	ame	19	Rubén Darío	ROMA	Antonino Lamberti, el peristilo	0	14	4	8	gesto la estatua, la palabra estilo.	1 4 8 10	ABBA ABBA CD- DCD	estilo	ABBA	ABBA	CD-	DCD	0	
694n	s694n_2559	ame	19	Rubén Darío	ROMA	Antonino Lamberti, el peristilo	0	14	4	9	Amemos, Antonino, de tu Roma	2 6 10	ABBA ABBA CD- DCD	Roma	ABBA	ABBA	CD-	DCD	1	ex_dobj_verb
694n	s694n_2559	ame	19	Rubén Darío	ROMA	Antonino Lamberti, el peristilo	0	14	4	10	la armonía sagrada, que aún subsiste,	3 5 8 10	ABBA ABBA CD- DCD	subsiste	ABBA	ABBA	CD-	DCD	0	
694n	s694n_2559	ame	19	Rubén Darío	ROMA	Antonino Lamberti, el peristilo	0	14	4	11	de la gloria fugaz que el tiempo dorna,	3 6 8 10	ABBA ABBA CD- DCD	dorna	ABBA	ABBA	CD-	DCD	0	
694n	s694n_2559	ame	19	Rubén Darío	ROMA	Antonino Lamberti, el peristilo	0	14	4	12	y que en el verso o piedra, que resiste,	4 6 10	ABBA ABBA CD- DCD	resiste	ABBA	ABBA	CD-	DCD	0	
694n	s694n_2559	ame	19	Rubén Darío	ROMA	Antonino Lamberti, el peristilo	0	14	4	13	rosa del mármol, lirio del idioma,	1 4 6 10	ABBA ABBA CD- DCD	idioma	ABBA	ABBA	CD-	DCD	0	
694n	s694n_2559	ame	19	Rubén Darío	ROMA	Antonino Lamberti, el peristilo	0	14	4	14	da la fragancia eterna de lo triste.	1 4 6 10	ABBA ABBA CD- DCD	triste	ABBA	ABBA	CD-	DCD	0	
694n	s694n_2560	ame	19	Rubén Darío	A CARLOS ROMAGOSA	Entre la barbarie que las garras saca	0	14	4	1	Entre la barbarie que las garras saca	5 9 11	ABAB ABAB CCD DEE	saca	ABAB	ABAB	CCD	DEE	0	
694n	s694n_2560	ame	19	Rubén Darío	A CARLOS ROMAGOSA	Entre la barbarie que las garras saca	0	14	4	2	cuando ve el reflejo de sedas fulgentes;	3 5 8 11	ABAB ABAB CCD DEE	fulgentes	ABAB	ABAB	CCD	DEE	0	
694n	s694n_2560	ame	19	Rubén Darío	A CARLOS ROMAGOSA	Entre la barbarie que las garras saca	0	14	4	3	entre el que desdora, desluce y ataca,	5 8 10	ABAB ABAB CCD DEE	ataca	ABAB	ABAB	CCD	DEE	0	
694n	s694n_2560	ame	19	Rubén Darío	A CARLOS ROMAGOSA	Entre la barbarie que las garras saca	0	14	4	4	eriza las cerdas y muestra los dientes	2 5 8 11	ABAB ABAB CCD DEE	dientes	ABAB	ABAB	CCD	DEE	0	
694n	s694n_2560	ame	19	Rubén Darío	A CARLOS ROMAGOSA	Entre la barbarie que las garras saca	0	14	4	5	cuando ve mi gema, mi biombo, mi laca,	3 5 8 11	ABAB ABAB CCD DEE	laca	ABAB	ABAB	CCD	DEE	0	
694n	s694n_2560	ame	19	Rubén Darío	A CARLOS ROMAGOSA	Entre la barbarie que las garras saca	0	14	4	6	o mis raras musas, terror de las gentes,	3 5 8 11	ABAB ABAB CCD DEE	gentes	ABAB	ABAB	CCD	DEE	0	
694n	s694n_2560	ame	19	Rubén Darío	A CARLOS ROMAGOSA	Entre la barbarie que las garras saca	0	14	4	7	terror de la gente calmuca y canaca	2 5 8 11	ABAB ABAB CCD DEE	canaca	ABAB	ABAB	CCD	DEE	1	cc_crossclause
694n	s694n_2560	ame	19	Rubén Darío	A CARLOS ROMAGOSA	Entre la barbarie que las garras saca	0	14	4	8	que mancha la gloria de los continentes...,	2 5 11	ABAB ABAB CCD DEE	continentes	ABAB	ABAB	CCD	DEE	0	
694n	s694n_2560	ame	19	Rubén Darío	A CARLOS ROMAGOSA	Entre la barbarie que las garras saca	0	14	4	9	suele haber un cisne, o un águila bella,	1 3 4 5 6 7 10	ABAB ABAB CCD DEE	bella	ABAB	ABAB	CCD	DEE	0	
694n	s694n_2560	ame	19	Rubén Darío	A CARLOS ROMAGOSA	Entre la barbarie que las garras saca	0	14	4	10	o un lirio, o un trueno, o una blanca estrella,	1 2 3 4 5 7 10	ABAB ABAB CCD DEE	estrella	ABAB	ABAB	CCD	DEE	0	
694n	s694n_2560	ame	19	Rubén Darío	A CARLOS ROMAGOSA	Entre la barbarie que las garras saca	0	14	4	11	o un iris que muda la noche que mata,	1 2 5 8 11	ABAB ABAB CCD DEE	mata	ABAB	ABAB	CCD	DEE	0	
694n	s694n_2560	ame	19	Rubén Darío	A CARLOS ROMAGOSA	Entre la barbarie que las garras saca	0	14	4	12	o una espada de oro, o un casco de plata,	1 3 5 6 7 10	ABAB ABAB CCD DEE	plata	ABAB	ABAB	CCD	DEE	0	
694n	s694n_2560	ame	19	Rubén Darío	A CARLOS ROMAGOSA	Entre la barbarie que las garras saca	0	14	4	13	o una rosa pura, o una noble rosa... ,	1 3 5 6 8 10	ABAB ABAB CCD DEE	rosa	ABAB	ABAB	CCD	DEE	0	
694n	s694n_2560	ame	19	Rubén Darío	A CARLOS ROMAGOSA	Entre la barbarie que las garras saca	0	14	4	14	toda como tu alma, Carlos Romagosa!	5 7 11	ABAB ABAB CCD DEE	Romagosa	ABAB	ABAB	CCD	DEE	0	
694n	s694n_2561	ame	19	Rubén Darío	TOAST	Que el champaña de oro refleje en su onda	0	14	4	1	Que el champaña de oro refleje en su onda	3 6 9 13	ABAB ABBA CCD EED	onda	ABAB	ABBA	CCD	EED	1	ex_dobj_verb
694n	s694n_2561	ame	19	Rubén Darío	TOAST	Que el champaña de oro refleje en su onda	0	14	4	2	la blanca maravilla que en el gran Louvre impera,	2 6 10 11 13	ABAB ABBA CCD EED	impera	ABAB	ABBA	CCD	EED	0	
694n	s694n_2561	ame	19	Rubén Darío	TOAST	Que el champaña de oro refleje en su onda	0	14	4	3	la emperatriz de mármol cuya mirada ahonda	4 6 8 11 13	ABAB ABBA CCD EED	ahonda	ABAB	ABBA	CCD	EED	0	
694n	s694n_2561	ame	19	Rubén Darío	TOAST	Que el champaña de oro refleje en su onda	0	14	4	4	el armonioso enigma que es ritmo de la esfera;	4 6 8 9 13	ABAB ABBA CCD EED	esfera	ABAB	ABBA	CCD	EED	0	
694n	s694n_2561	ame	19	Rubén Darío	TOAST	Que el champaña de oro refleje en su onda	0	14	4	5	el bello hermafrodita de cadera redonda,	2 6 10 13	ABAB ABBA CCD EED	redonda	ABAB	ABBA	CCD	EED	0	
694n	s694n_2561	ame	19	Rubén Darío	TOAST	Que el champaña de oro refleje en su onda	0	14	4	6	y del sublime Sandro la núbil Primavera;	4 6 9 13	ABAB ABBA CCD EED	Primavera	ABAB	ABBA	CCD	EED	0	
694n	s694n_2561	ame	19	Rubén Darío	TOAST	Que el champaña de oro refleje en su onda	0	14	4	7	y sonriente en el triunfo de su gracia hechicera,	3 6 10 13	ABAB ABBA CCD EED	hechicera	ABAB	ABBA	CCD	EED	0	
694n	s694n_2561	ame	19	Rubén Darío	TOAST	Que el champaña de oro refleje en su onda	0	14	4	8	la perla de Leonardo, la mágica Gioconda.	2 6 9 13	ABAB ABBA CCD EED	Gioconda	ABAB	ABBA	CCD	EED	0	
694n	s694n_2561	ame	19	Rubén Darío	TOAST	Que el champaña de oro refleje en su onda	0	14	4	9	Y el pórtico del templo que habita el Numen sacro,	2 6 9 11 13	ABAB ABBA CCD EED	sacro	ABAB	ABBA	CCD	EED	0	
694n	s694n_2561	ame	19	Rubén Darío	TOAST	Que el champaña de oro refleje en su onda	0	14	4	10	el altar donde se alce su augusto simulacro,	3 6 9 13	ABAB ABBA CCD EED	simulacro	ABAB	ABBA	CCD	EED	0	
694n	s694n_2561	ame	19	Rubén Darío	TOAST	Que el champaña de oro refleje en su onda	0	14	4	11	y en teoría suave, canéforas hermosas.	3 6 9 13	ABAB ABBA CCD EED	hermosas	ABAB	ABBA	CCD	EED	0	
694n	s694n_2561	ame	19	Rubén Darío	TOAST	Que el champaña de oro refleje en su onda	0	14	4	12	La victoria llenando su palma de oro fino,	3 6 9 11 13	ABAB ABBA CCD EED	fino	ABAB	ABBA	CCD	EED	0	
694n	s694n_2561	ame	19	Rubén Darío	TOAST	Que el champaña de oro refleje en su onda	0	14	4	13	y rompiendo la sombra, sobre el carro divino,	3 6 10 13	ABAB ABBA CCD EED	divino	ABAB	ABBA	CCD	EED	0	
694n	s694n_2561	ame	19	Rubén Darío	TOAST	Que el champaña de oro refleje en su onda	0	14	4	14	Apolo, coronado de nubes y de rosas.	2 6 9 13	ABAB ABBA CCD EED	rosas	ABAB	ABBA	CCD	EED	0	
694n	s694n_2562	ame	19	Rubén Darío	UNA CALIGRAFíA DE KALIFA QUISIERA...	Una caligrafía de Kalifa quisiera	0	14	4	1	Una caligrafía de Kalifa quisiera	1 6 9 12	AABB CCDD EEF FGG	quisiera	AABB	CCDD	EEF	FGG	0	
694n	s694n_2562	ame	19	Rubén Darío	UNA CALIGRAFíA DE KALIFA QUISIERA...	Una caligrafía de Kalifa quisiera	0	14	4	2	para escribirte un verso melodioso, que fuera	4 5 6 10 13	AABB CCDD EEF FGG	fuera	AABB	CCDD	EEF	FGG	0	
694n	s694n_2562	ame	19	Rubén Darío	UNA CALIGRAFíA DE KALIFA QUISIERA...	Una caligrafía de Kalifa quisiera	0	14	4	3	seda y oro de Oriente y gracia y pompa de Asia,	1 3 6 8 10 12	AABB CCDD EEF FGG	Asia	AABB	CCDD	EEF	FGG	0	
694n	s694n_2562	ame	19	Rubén Darío	UNA CALIGRAFíA DE KALIFA QUISIERA...	Una caligrafía de Kalifa quisiera	0	14	4	4	en honor de unos labios de Bagdad o Circasia.	3 4 6 10 13	AABB CCDD EEF FGG	Circasia	AABB	CCDD	EEF	FGG	0	
694n	s694n_2562	ame	19	Rubén Darío	UNA CALIGRAFíA DE KALIFA QUISIERA...	Una caligrafía de Kalifa quisiera	0	14	4	5	O una caligrafía de monje medioeval.	1 6 8 12	AABB CCDD EEF FGG	medioeval	AABB	CCDD	EEF	FGG	0	
694n	s694n_2562	ame	19	Rubén Darío	UNA CALIGRAFíA DE KALIFA QUISIERA...	Una caligrafía de Kalifa quisiera	0	14	4	6	mayúsculas de antifonario, o de misal,	2 8 12	AABB CCDD EEF FGG	misal	AABB	CCDD	EEF	FGG	0	
694n	s694n_2562	ame	19	Rubén Darío	UNA CALIGRAFíA DE KALIFA QUISIERA...	Una caligrafía de Kalifa quisiera	0	14	4	7	miniatura en fondo de azul, oro o violeta,	3 5 8 9 12	AABB CCDD EEF FGG	violeta	AABB	CCDD	EEF	FGG	0	
694n	s694n_2562	ame	19	Rubén Darío	UNA CALIGRAFíA DE KALIFA QUISIERA...	Una caligrafía de Kalifa quisiera	0	14	4	8	para escribir mis prosas de profano poeta	4 6 10 12	AABB CCDD EEF FGG	poeta	AABB	CCDD	EEF	FGG	0	
694n	s694n_2562	ame	19	Rubén Darío	UNA CALIGRAFíA DE KALIFA QUISIERA...	Una caligrafía de Kalifa quisiera	0	14	4	9	en honor de la virgen -o no-de carne viva.	3 6 9 11 13	AABB CCDD EEF FGG	viva	AABB	CCDD	EEF	FGG	0	
694n	s694n_2562	ame	19	Rubén Darío	UNA CALIGRAFíA DE KALIFA QUISIERA...	Una caligrafía de Kalifa quisiera	0	14	4	10	Rosa, rosa, rosada, trémula, sensitiva,	1 3 6 8 13	AABB CCDD EEF FGG	sensitiva	AABB	CCDD	EEF	FGG	0	
694n	s694n_2562	ame	19	Rubén Darío	UNA CALIGRAFíA DE KALIFA QUISIERA...	Una caligrafía de Kalifa quisiera	0	14	4	11	o femenina fruta, uva o fresca manzana,	4 6 7 9 12	AABB CCDD EEF FGG	manzana	AABB	CCDD	EEF	FGG	0	
